KOTA/KABUPATEN;KECAMATAN;REG;ESTIMASI REG;OKE;ESTIMASI OKE;YES;ESTIMASI YES;ORIGIN
OganKomeringUluSelatan;KisamTinggi;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
Lahat;KotaAgung;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
OganKomeringIlir;KotaKayuAgung;52000;4 - 5 Hari;45000;7 - 8 Hari;-;-;YOGYAKARTA
Lahat;Lahat;52000;4 - 5 Hari;45000;7 - 8 Hari;-;-;YOGYAKARTA
MusiBanyuasin;Lais;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
MuaraEnim;LawangKidul;52000;4 - 5 Hari;45000;7 - 8 Hari;-;-;YOGYAKARTA
MuaraEnim;Lembak;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
OganKomeringIlir;Lempuing;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
OganKomeringUlu;Lengkiti;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
EmpatLawang;LintangKanan;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
MuaraEnim;Lubai;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
OganKomeringUlu;LubukBatang;65000;7 - 8 Hari;57000;9 - 10 Hari;-;-;YOGYAKARTA
