KOTA/KABUPATEN;KECAMATAN;REG;ESTIMASI REG;OKE;ESTIMASI OKE;YES;ESTIMASI YES;ORIGIN
Palalawan;PangkalanKuras;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
Palalawan;PangkalanLesung;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
RokanHilir;PasirLimauKapas;110000;+ 10 Hari;-;-;-;-;YOGYAKARTA
RokanHulu;PasirPangaraian;58000;4 - 5 Hari;50000;7 - 8 Hari;-;-;YOGYAKARTA
IndragiriHulu;PasirPenyu;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
Pekanbaru;Payung;31000;2 - 3 Hari;27000;4 - 5 Hari;59000;-;YOGYAKARTA
Pekanbaru;Pekanbaru;31000;2 - 3 Hari;27000;4 - 5 Hari;59000;-;YOGYAKARTA
Palalawan;Pelalawan;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
IndragiriHilir;Pelangiran;110000;+ 10 Hari;-;-;-;-;YOGYAKARTA
IndragiriHulu;Peranap;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
Kampar;PerhentianRaja;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
Bengkalis;Pinggir;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
RokanHilir;Pujud;110000;+ 10 Hari;-;-;-;-;YOGYAKARTA
IndragiriHilir;PulauBurung;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
RokanHulu;Rambah;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
RokanHulu;RambahHilir;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
RokanHulu;RambahSamo;73000;7 - 8 Hari;63000;9 - 10 Hari;-;-;YOGYAKARTA
Meranti;Rangsang;110000;+ 10 Hari;-;-;-;-;YOGYAKARTA
